GlobalTracer.FirstPowerUp_Info: Sat Mar 24 11:09:37 PDT 2018: ***** Starting autonomous *****
GlobalTracer.FirstPowerUp_Info: WASNO_Qualification_  1 (Blue3) [FMSConnected=true]
GlobalTracer.CmdAutoSwitch_Info: alliance=Blue, gameSpecificMsg=RLR, delay=0.000, fwdDistance=60, startPosition=102.0, flipInFlight=true
GlobalTracer.printPidInfo_Info: [1.998] gyroTurnPidCtrl: Target=   0.0, Input=   0.8, Error=  -0.8, PIDTerms=-0.009/ 0.000/-0.001/ 0.000, Output=-0.011(-0.700/0.700), Volt=11.7(10.8)
GlobalTracer.printPidInfo_Info: [2.078] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.057/ 0.000/-0.005/ 0.000, Output= 0.052(-0.700/0.700), Volt=11.8(10.8)
GlobalTracer.printPidInfo_Info: [2.078] encoderYPidCtrl: Target=-129.0, Input= -48.9, Error= -80.1, PIDTerms=-2.404/ 0.000/ 0.102/-0.000, Output=-0.600(-0.600/0.600), Volt=11.8(10.8)
GlobalTracer.printPidInfo_Info: [2.078] gyroTurnPidCtrl: Target=   0.0, Input=   0.9, Error=  -0.9, PIDTerms=-0.011/ 0.000/-0.002/ 0.000, Output=-0.013(-0.700/0.700), Volt=11.8(10.8)
GlobalTracer.printPidInfo_Info: [2.170] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.056/ 0.000/-0.002/ 0.000, Output= 0.054(-0.700/0.700), Volt=11.8(10.8)
GlobalTracer.printPidInfo_Info: [2.170] encoderYPidCtrl: Target=-129.0, Input= -55.9, Error= -73.1, PIDTerms=-2.193/ 0.000/ 0.074/-0.000, Output=-0.600(-0.600/0.600), Volt=11.8(10.8)
GlobalTracer.printPidInfo_Info: [2.170] gyroTurnPidCtrl: Target=   0.0, Input=   1.0, Error=  -1.0, PIDTerms=-0.012/ 0.000/-0.001/ 0.000, Output=-0.013(-0.700/0.700), Volt=11.8(10.8)
GlobalTracer.printPidInfo_Info: [2.238] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.056/ 0.000/ 0.001/ 0.000, Output= 0.057(-0.700/0.700), Volt=11.9(10.8)
GlobalTracer.printPidInfo_Info: [2.238] encoderYPidCtrl: Target=-129.0, Input= -63.2, Error= -65.8, PIDTerms=-1.974/ 0.000/ 0.115/-0.000, Output=-0.600(-0.600/0.600), Volt=11.9(10.8)
GlobalTracer.printPidInfo_Info: [2.238] gyroTurnPidCtrl: Target=   0.0, Input=   1.1, Error=  -1.1, PIDTerms=-0.014/ 0.000/-0.002/ 0.000, Output=-0.016(-0.700/0.700), Volt=11.9(10.8)
GlobalTracer.printPidInfo_Info: [2.327] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.062/ 0.000/ 0.007/ 0.000, Output= 0.069(-0.700/0.700), Volt=11.9(10.8)
GlobalTracer.printPidInfo_Info: [2.327] encoderYPidCtrl: Target=-129.0, Input= -70.6, Error= -58.4, PIDTerms=-1.751/ 0.000/ 0.077/-0.000, Output=-0.600(-0.600/0.600), Volt=11.9(10.8)
GlobalTracer.printPidInfo_Info: [2.327] gyroTurnPidCtrl: Target=   0.0, Input=   1.2, Error=  -1.2, PIDTerms=-0.015/ 0.000/-0.001/ 0.000, Output=-0.016(-0.700/0.700), Volt=11.9(10.8)
GlobalTracer.printPidInfo_Info: [2.398] encoderXPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.051/ 0.000/-0.019/ 0.000, Output= 0.032(-0.700/0.700), Volt=11.9(10.8)
GlobalTracer.printPidInfo_Info: [2.398] encoderYPidCtrl: Target=-129.0, Input= -78.2, Error= -50.8, PIDTerms=-1.523/ 0.000/ 0.122/-0.000, Output=-0.600(-0.600/0.600), Volt=11.9(10.8)
GlobalTracer.printPidInfo_Info: [2.398] gyroTurnPidCtrl: Target=   0.0, Input=   1.3, Error=  -1.3, PIDTerms=-0.016/ 0.000/-0.001/ 0.000, Output=-0.017(-0.700/0.700), Volt=11.9(10.8)
GlobalTracer.printPidInfo_Info: [2.496] encoderXPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.043/ 0.000/-0.007/ 0.000, Output= 0.036(-0.700/0.700), Volt=12.0(10.8)
GlobalTracer.printPidInfo_Info: [2.496] encoderYPidCtrl: Target=-129.0, Input= -86.0, Error= -43.0, PIDTerms=-1.291/ 0.000/ 0.069/-0.000, Output=-0.600(-0.600/0.600), Volt=11.9(10.8)
GlobalTracer.printPidInfo_Info: [2.496] gyroTurnPidCtrl: Target=   0.0, Input=   1.3, Error=  -1.3, PIDTerms=-0.016/ 0.000/ 0.000/ 0.000, Output=-0.016(-0.700/0.700), Volt=11.9(10.8)
GlobalTracer.printPidInfo_Info: [2.583] encoderXPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.052/ 0.000/ 0.012/ 0.000, Output= 0.064(-0.700/0.700), Volt=12.0(10.8)
GlobalTracer.printPidInfo_Info: [2.583] encoderYPidCtrl: Target=-129.0, Input= -95.9, Error= -33.1, PIDTerms=-0.994/ 0.000/ 0.136/-0.000, Output=-0.600(-0.600/0.600), Volt=12.0(10.8)
GlobalTracer.printPidInfo_Info: [2.583] gyroTurnPidCtrl: Target=   0.0, Input=   1.3, Error=  -1.3, PIDTerms=-0.015/ 0.000/ 0.000/ 0.000, Output=-0.015(-0.700/0.700), Volt=12.0(10.8)
GlobalTracer.printPidInfo_Info: [2.677] encoderXPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.048/ 0.000/-0.004/ 0.000, Output= 0.044(-0.700/0.700), Volt=12.0(10.8)
GlobalTracer.printPidInfo_Info: [2.677] encoderYPidCtrl: Target=-129.0, Input=-103.9, Error= -25.1, PIDTerms=-0.753/ 0.000/ 0.080/-0.000, Output=-0.600(-0.600/0.600), Volt=12.0(10.8)
GlobalTracer.printPidInfo_Info: [2.677] gyroTurnPidCtrl: Target=   0.0, Input=   1.2, Error=  -1.2, PIDTerms=-0.014/ 0.000/ 0.001/ 0.000, Output=-0.014(-0.700/0.700), Volt=12.0(10.8)
GlobalTracer.printPidInfo_Info: [2.752] encoderXPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.047/ 0.000/-0.001/ 0.000, Output= 0.047(-0.700/0.700), Volt=12.6(10.8)
GlobalTracer.printPidInfo_Info: [2.752] encoderYPidCtrl: Target=-129.0, Input=-114.0, Error= -15.0, PIDTerms=-0.451/ 0.000/ 0.131/-0.000, Output=-0.320(-0.600/0.600), Volt=12.6(10.8)
GlobalTracer.printPidInfo_Info: [2.752] gyroTurnPidCtrl: Target=   0.0, Input=   1.1, Error=  -1.1, PIDTerms=-0.013/ 0.000/ 0.001/ 0.000, Output=-0.012(-0.700/0.700), Volt=12.6(10.8)
GlobalTracer.printPidInfo_Info: [2.838] encoderXPidCtrl: Target=   0.0, Input=  -0.7, Error=   0.7, PIDTerms= 0.108/ 0.000/ 0.073/ 0.000, Output= 0.181(-0.700/0.700), Volt=12.6(10.8)
GlobalTracer.printPidInfo_Info: [2.838] encoderYPidCtrl: Target=-129.0, Input=-120.6, Error=  -8.4, PIDTerms=-0.253/ 0.000/ 0.079/-0.000, Output=-0.174(-0.600/0.600), Volt=12.6(10.8)
GlobalTracer.printPidInfo_Info: [2.838] gyroTurnPidCtrl: Target=   0.0, Input=   1.1, Error=  -1.1, PIDTerms=-0.013/ 0.000/ 0.000/ 0.000, Output=-0.013(-0.700/0.700), Volt=12.6(10.8)
GlobalTracer.printPidInfo_Info: [2.918] encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/-0.145/ 0.000, Output=-0.145(-0.700/0.700), Volt=12.1(10.8)
GlobalTracer.printPidInfo_Info: [2.918] encoderYPidCtrl: Target=-129.0, Input=-128.8, Error=  -0.2, PIDTerms=-0.005/ 0.000/ 0.111/-0.000, Output= 0.106(-0.600/0.600), Volt=12.0(10.8)
GlobalTracer.printPidInfo_Info: [2.918] gyroTurnPidCtrl: Target=   0.0, Input=   0.9, Error=  -0.9, PIDTerms=-0.010/ 0.000/ 0.003/ 0.000, Output=-0.007(-0.700/0.700), Volt=12.0(10.8)
GlobalTracer.startCompetition_Warn: AUTO_MODE takes too long (0.114s)

GlobalTracer.SonarTrigger_Info: [3.040] prevZone=1, currZone=0, distance=15.52
GlobalTracer.AutoSwitchPeriodic_Info: sonarDistance=14.1, yPos=138.3
GlobalTracer.Robot_Info: [3.040] CHECK_SONAR_DISTANCE: xPos=  0.07,yPos=-138.30,heading=  -0.4/   0.0,volts=11.8(10.8)
GlobalTracer.Robot_Info: [3.101] SONAR_FLIP_CUBE: xPos=  0.19,yPos=-140.16,heading=  -1.1/   0.0,volts=12.5(10.8)
GlobalTracer.Robot_Info: [3.642] SONAR_POSITION_TO_STRAFE: xPos=  0.35,yPos=-150.59,heading=  -1.7/   0.0,volts=12.6(10.8)
GlobalTracer.printPidInfo_Info: [3.642] encoderXPidCtrl: Target=   0.4, Input=   0.6, Error=   0.0, PIDTerms=-0.092/ 0.000/-0.082/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.6(10.8)
GlobalTracer.printPidInfo_Info: [3.642] encoderYPidCtrl: Target=-221.3, Input=-134.2, Error= -70.7, PIDTerms= 0.157/ 0.000/ 0.048/-0.000, Output= 0.000(-0.600/0.600), Volt=12.5(10.8)
GlobalTracer.printPidInfo_Info: [3.642] gyroTurnPidCtrl: Target=   0.0, Input=   0.5, Error=   1.7, PIDTerms=-0.006/ 0.000/ 0.003/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.5(10.8)
GlobalTracer.startCompetition_Warn: AUTO_MODE takes too long (0.100s)

GlobalTracer.printPidInfo_Info: [3.744] encoderXPidCtrl: Target=   0.4, Input=   0.4, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=11.1(10.8)
GlobalTracer.printPidInfo_Info: [3.744] encoderYPidCtrl: Target=-221.3, Input=-150.6, Error= -70.7, PIDTerms=-2.121/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.6(10.8)
GlobalTracer.printPidInfo_Info: [3.744] gyroTurnPidCtrl: Target=   0.0, Input=  -1.7, Error=   1.7, PIDTerms= 0.020/ 0.000/ 0.000/ 0.000, Output= 0.020(-0.700/0.700), Volt=10.6(10.8)
GlobalTracer.printPidInfo_Info: [3.836] encoderXPidCtrl: Target=   0.4, Input=   0.3, Error=   0.1, PIDTerms= 0.013/ 0.000/ 0.016/ 0.000, Output= 0.029(-0.700/0.700), Volt=10.9(10.7)
GlobalTracer.printPidInfo_Info: [3.836] encoderYPidCtrl: Target=-221.3, Input=-151.2, Error= -70.1, PIDTerms=-2.103/ 0.000/ 0.008/-0.000, Output=-0.600(-0.600/0.600), Volt=10.9(10.7)
GlobalTracer.printPidInfo_Info: [3.836] gyroTurnPidCtrl: Target=   0.0, Input=  -1.9, Error=   1.9, PIDTerms= 0.023/ 0.000/ 0.003/ 0.000, Output= 0.026(-0.700/0.700), Volt=10.8(10.7)
GlobalTracer.printPidInfo_Info: [3.932] encoderXPidCtrl: Target=   0.4, Input=  -0.3, Error=   0.7, PIDTerms= 0.102/ 0.000/ 0.091/ 0.000, Output= 0.193(-0.700/0.700), Volt=10.6(10.6)
GlobalTracer.printPidInfo_Info: [3.932] encoderYPidCtrl: Target=-221.3, Input=-154.1, Error= -67.2, PIDTerms=-2.016/ 0.000/ 0.030/-0.000, Output=-0.600(-0.600/0.600), Volt=10.6(10.6)
GlobalTracer.printPidInfo_Info: [3.932] gyroTurnPidCtrl: Target=   0.0, Input=  -2.3, Error=   2.3, PIDTerms= 0.028/ 0.000/ 0.004/ 0.000, Output= 0.032(-0.700/0.700), Volt=10.7(10.6)
GlobalTracer.printPidInfo_Info: [3.986] encoderXPidCtrl: Target=   0.4, Input=  -1.0, Error=   1.3, PIDTerms= 0.200/ 0.000/ 0.138/ 0.000, Output= 0.338(-0.700/0.700), Volt=10.4(10.6)
GlobalTracer.printPidInfo_Info: [3.986] encoderYPidCtrl: Target=-221.3, Input=-157.5, Error= -63.7, PIDTerms=-1.912/ 0.000/ 0.049/-0.000, Output=-0.600(-0.600/0.600), Volt=10.4(10.6)
GlobalTracer.printPidInfo_Info: [3.986] gyroTurnPidCtrl: Target=   0.0, Input=  -3.0, Error=   3.0, PIDTerms= 0.035/ 0.000/ 0.009/ 0.000, Output= 0.044(-0.700/0.700), Volt=10.4(10.6)
GlobalTracer.printPidInfo_Info: [4.061] encoderXPidCtrl: Target=   0.4, Input=  -0.8, Error=   1.1, PIDTerms= 0.171/ 0.000/-0.041/ 0.000, Output= 0.130(-0.700/0.700), Volt=11.1(10.3)
GlobalTracer.printPidInfo_Info: [4.061] encoderYPidCtrl: Target=-221.3, Input=-160.2, Error= -61.1, PIDTerms=-1.834/ 0.000/ 0.038/-0.000, Output=-0.600(-0.600/0.600), Volt=11.1(10.3)
GlobalTracer.printPidInfo_Info: [4.061] gyroTurnPidCtrl: Target=   0.0, Input=  -2.7, Error=   2.7, PIDTerms= 0.032/ 0.000/-0.004/ 0.000, Output= 0.029(-0.700/0.700), Volt=11.1(10.3)
GlobalTracer.printPidInfo_Info: [4.123] encoderXPidCtrl: Target=   0.4, Input=  -0.3, Error=   0.6, PIDTerms= 0.091/ 0.000/-0.114/ 0.000, Output=-0.023(-0.700/0.700), Volt=11.5(10.3)
GlobalTracer.printPidInfo_Info: [4.123] encoderYPidCtrl: Target=-221.3, Input=-164.2, Error= -57.0, PIDTerms=-1.711/ 0.000/ 0.058/-0.000, Output=-0.600(-0.600/0.600), Volt=11.3(10.3)
GlobalTracer.printPidInfo_Info: [4.123] gyroTurnPidCtrl: Target=   0.0, Input=  -1.9, Error=   1.9, PIDTerms= 0.023/ 0.000/-0.012/ 0.000, Output= 0.011(-0.700/0.700), Volt=11.3(10.3)
GlobalTracer.printPidInfo_Info: [4.205] encoderXPidCtrl: Target=   0.4, Input=  -0.1, Error=   0.5, PIDTerms= 0.069/ 0.000/-0.031/ 0.000, Output= 0.038(-0.700/0.700), Volt=11.4(10.3)
GlobalTracer.printPidInfo_Info: [4.205] encoderYPidCtrl: Target=-221.3, Input=-167.8, Error= -53.5, PIDTerms=-1.604/ 0.000/ 0.049/-0.000, Output=-0.600(-0.600/0.600), Volt=11.4(10.3)
GlobalTracer.printPidInfo_Info: [4.205] gyroTurnPidCtrl: Target=   0.0, Input=  -1.2, Error=   1.2, PIDTerms= 0.014/ 0.000/-0.010/ 0.000, Output= 0.005(-0.700/0.700), Volt=11.4(10.3)
GlobalTracer.printPidInfo_Info: [4.283] encoderXPidCtrl: Target=   0.4, Input=  -0.2, Error=   0.6, PIDTerms= 0.084/ 0.000/ 0.025/ 0.000, Output= 0.108(-0.700/0.700), Volt=11.5(10.3)
GlobalTracer.printPidInfo_Info: [4.283] encoderYPidCtrl: Target=-221.3, Input=-173.2, Error= -48.1, PIDTerms=-1.444/ 0.000/ 0.086/-0.000, Output=-0.600(-0.600/0.600), Volt=11.5(10.3)
GlobalTracer.printPidInfo_Info: [4.283] gyroTurnPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.004/ 0.000/-0.013/ 0.000, Output=-0.009(-0.700/0.700), Volt=11.5(10.3)
GlobalTracer.startCompetition_Warn: AUTO_MODE takes too long (0.111s)

GlobalTracer.printPidInfo_Info: [4.395] encoderXPidCtrl: Target=   0.4, Input=  -0.2, Error=   0.5, PIDTerms= 0.076/ 0.000/-0.007/ 0.000, Output= 0.069(-0.700/0.700), Volt=11.5(10.3)
GlobalTracer.printPidInfo_Info: [4.395] encoderYPidCtrl: Target=-221.3, Input=-179.0, Error= -42.3, PIDTerms=-1.270/ 0.000/ 0.052/-0.000, Output=-0.600(-0.600/0.600), Volt=11.5(10.3)
GlobalTracer.printPidInfo_Info: [4.395] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/-0.004/ 0.000, Output=-0.005(-0.700/0.700), Volt=11.6(10.3)
GlobalTracer.printPidInfo_Info: [4.482] encoderXPidCtrl: Target=   0.4, Input=  -0.3, Error=   0.7, PIDTerms= 0.102/ 0.000/ 0.026/ 0.000, Output= 0.128(-0.700/0.700), Volt=11.6(10.3)
GlobalTracer.printPidInfo_Info: [4.482] encoderYPidCtrl: Target=-221.3, Input=-187.1, Error= -34.2, PIDTerms=-1.026/ 0.000/ 0.082/-0.000, Output=-0.600(-0.600/0.600), Volt=11.6(10.3)
GlobalTracer.printPidInfo_Info: [4.482] gyroTurnPidCtrl: Target=   0.0, Input=   0.5, Error=  -0.5, PIDTerms=-0.006/ 0.000/-0.004/ 0.000, Output=-0.011(-0.700/0.700), Volt=11.6(10.3)
GlobalTracer.printPidInfo_Info: [4.558] encoderXPidCtrl: Target=   0.4, Input=   0.1, Error=   0.3, PIDTerms= 0.043/ 0.000/-0.075/ 0.000, Output=-0.031(-0.700/0.700), Volt=11.8(10.3)
GlobalTracer.printPidInfo_Info: [4.558] encoderYPidCtrl: Target=-221.3, Input=-195.0, Error= -26.3, PIDTerms=-0.789/ 0.000/ 0.101/-0.000, Output=-0.600(-0.600/0.600), Volt=11.8(10.3)
GlobalTracer.printPidInfo_Info: [4.558] gyroTurnPidCtrl: Target=   0.0, Input=   0.9, Error=  -0.9, PIDTerms=-0.010/ 0.000/-0.004/ 0.000, Output=-0.014(-0.700/0.700), Volt=11.8(10.3)
GlobalTracer.printPidInfo_Info: [4.628] encoderXPidCtrl: Target=   0.4, Input=   0.2, Error=   0.1, PIDTerms= 0.018/ 0.000/-0.035/ 0.000, Output=-0.017(-0.700/0.700), Volt=12.2(10.3)
GlobalTracer.printPidInfo_Info: [4.628] encoderYPidCtrl: Target=-221.3, Input=-201.9, Error= -19.4, PIDTerms=-0.581/ 0.000/ 0.095/-0.000, Output=-0.487(-0.600/0.600), Volt=12.2(10.3)
GlobalTracer.printPidInfo_Info: [4.628] gyroTurnPidCtrl: Target=   0.0, Input=   1.0, Error=  -1.0, PIDTerms=-0.012/ 0.000/-0.002/ 0.000, Output=-0.014(-0.700/0.700), Volt=12.1(10.3)
GlobalTracer.printPidInfo_Info: [4.688] encoderXPidCtrl: Target=   0.4, Input=   0.1, Error=   0.2, PIDTerms= 0.037/ 0.000/ 0.031/ 0.000, Output= 0.068(-0.700/0.700), Volt=12.5(10.3)
GlobalTracer.printPidInfo_Info: [4.688] encoderYPidCtrl: Target=-221.3, Input=-207.4, Error= -13.9, PIDTerms=-0.417/ 0.000/ 0.089/-0.000, Output=-0.328(-0.600/0.600), Volt=12.5(10.3)
GlobalTracer.printPidInfo_Info: [4.688] gyroTurnPidCtrl: Target=   0.0, Input=   1.0, Error=  -1.0, PIDTerms=-0.012/ 0.000/-0.000/ 0.000, Output=-0.013(-0.700/0.700), Volt=12.5(10.3)
