GlobalTracer.FirstPowerUp_Info: Thu Apr 05 15:06:17 PDT 2018[0.057]: ***** AUTO_MODE *****
GlobalTracer.Vision_Info: Pixy is enabled!
GlobalTracer.FirstPowerUp_Info: _None000 (Blue3) [FMSConnected=true] msg=LRL
GlobalTracer.CmdAutoSwitch_Info: [0.126] delay=0.0, fwdDistance=235.0, startPos=RIGHT_POS, fastDelivery=false, getSecondCube=false
GlobalTracer.printPidInfo_Info: [0.664] gyroTurnPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.001/ 0.000, Output= 0.001(-0.700/0.700), Volt=10.2(10.1)
GlobalTracer.printPidInfo_Info: [0.703] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.091/ 0.000/ 0.002/ 0.000, Output= 0.093(-0.700/0.700), Volt=10.1(10.1)
GlobalTracer.printPidInfo_Info: [0.703] encoderYPidCtrl: Target=-235.0, Input=  -1.9, Error=-233.1, PIDTerms=-4.661/ 0.000/ 0.002/-0.000, Output=-0.600(-0.600/0.600), Volt=10.2(10.1)
GlobalTracer.printPidInfo_Info: [0.703] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/-0.002/ 0.000, Output=-0.002(-0.700/0.700), Volt=10.2(10.1)
GlobalTracer.printPidInfo_Info: [0.743] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.090/ 0.000/-0.002/ 0.000, Output= 0.088(-0.700/0.700), Volt=10.1(10.1)
GlobalTracer.printPidInfo_Info: [0.743] encoderYPidCtrl: Target=-235.0, Input=  -1.9, Error=-233.1, PIDTerms=-4.661/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(10.1)
GlobalTracer.printPidInfo_Info: [0.743] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/-0.001/ 0.000, Output=-0.003(-0.700/0.700), Volt=10.1(10.1)
GlobalTracer.printPidInfo_Info: [0.781] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.091/ 0.000/ 0.002/ 0.000, Output= 0.092(-0.700/0.700), Volt=10.1(10.1)
GlobalTracer.printPidInfo_Info: [0.781] encoderYPidCtrl: Target=-235.0, Input=  -2.0, Error=-233.0, PIDTerms=-4.661/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(10.1)
GlobalTracer.printPidInfo_Info: [0.781] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.001/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.1(10.1)
GlobalTracer.printPidInfo_Info: [0.821] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.093/ 0.000/ 0.003/ 0.000, Output= 0.096(-0.700/0.700), Volt=10.2(10.1)
GlobalTracer.printPidInfo_Info: [0.821] encoderYPidCtrl: Target=-235.0, Input=  -2.0, Error=-233.0, PIDTerms=-4.661/ 0.000/ 0.001/-0.000, Output=-0.600(-0.600/0.600), Volt=10.2(10.1)
GlobalTracer.printPidInfo_Info: [0.821] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(10.1)
GlobalTracer.printPidInfo_Info: [0.863] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.098/ 0.000/ 0.008/ 0.000, Output= 0.106(-0.700/0.700), Volt=10.1(10.1)
GlobalTracer.printPidInfo_Info: [0.863] encoderYPidCtrl: Target=-235.0, Input=  -2.0, Error=-233.0, PIDTerms=-4.660/ 0.000/ 0.001/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(10.1)
GlobalTracer.printPidInfo_Info: [0.863] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.000(-0.700/0.700), Volt=10.0(10.1)
GlobalTracer.printPidInfo_Info: [0.905] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.101/ 0.000/ 0.004/ 0.000, Output= 0.105(-0.700/0.700), Volt=10.1(10.0)
GlobalTracer.printPidInfo_Info: [0.905] encoderYPidCtrl: Target=-235.0, Input=  -2.0, Error=-233.0, PIDTerms=-4.659/ 0.000/ 0.001/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(10.0)
GlobalTracer.printPidInfo_Info: [0.905] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/-0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(10.0)
GlobalTracer.printPidInfo_Info: [0.947] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.103/ 0.000/ 0.003/ 0.000, Output= 0.107(-0.700/0.700), Volt=10.2(10.0)
GlobalTracer.printPidInfo_Info: [0.947] encoderYPidCtrl: Target=-235.0, Input=  -2.0, Error=-233.0, PIDTerms=-4.659/ 0.000/ 0.001/-0.000, Output=-0.600(-0.600/0.600), Volt=10.2(10.0)
GlobalTracer.printPidInfo_Info: [0.947] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/-0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(10.0)
GlobalTracer.printPidInfo_Info: [1.005] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.105/ 0.000/ 0.002/ 0.000, Output= 0.107(-0.700/0.700), Volt=10.0(10.0)
GlobalTracer.printPidInfo_Info: [1.005] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.659/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(10.0)
GlobalTracer.printPidInfo_Info: [1.005] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(10.0)
GlobalTracer.printPidInfo_Info: [1.049] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.104/ 0.000/-0.001/ 0.000, Output= 0.104(-0.700/0.700), Volt=10.1(10.0)
GlobalTracer.printPidInfo_Info: [1.049] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.659/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(10.0)
GlobalTracer.printPidInfo_Info: [1.049] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.000(-0.700/0.700), Volt=10.1(10.0)
GlobalTracer.printPidInfo_Info: [1.100] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.104/ 0.000/ 0.000/ 0.000, Output= 0.104(-0.700/0.700), Volt=10.0(10.0)
GlobalTracer.printPidInfo_Info: [1.100] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.659/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(10.0)
GlobalTracer.printPidInfo_Info: [1.100] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/-0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(10.0)
GlobalTracer.printPidInfo_Info: [1.142] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.104/ 0.000/ 0.000/ 0.000, Output= 0.104(-0.700/0.700), Volt=10.0(10.0)
GlobalTracer.printPidInfo_Info: [1.142] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.659/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(10.0)
GlobalTracer.printPidInfo_Info: [1.142] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(10.0)
GlobalTracer.printPidInfo_Info: [1.183] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.105/ 0.000/ 0.001/ 0.000, Output= 0.106(-0.700/0.700), Volt=10.1(10.0)
GlobalTracer.printPidInfo_Info: [1.183] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.659/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(10.0)
GlobalTracer.printPidInfo_Info: [1.183] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.000(-0.700/0.700), Volt=10.1(10.0)
GlobalTracer.printPidInfo_Info: [1.226] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.105/ 0.000/ 0.000/ 0.000, Output= 0.105(-0.700/0.700), Volt=10.1(10.0)
GlobalTracer.printPidInfo_Info: [1.226] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.659/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(10.0)
GlobalTracer.printPidInfo_Info: [1.226] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/-0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(10.0)
GlobalTracer.printPidInfo_Info: [1.275] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.105/ 0.000/ 0.000/ 0.000, Output= 0.105(-0.700/0.700), Volt=10.1(10.0)
GlobalTracer.printPidInfo_Info: [1.275] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.659/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(10.0)
GlobalTracer.printPidInfo_Info: [1.275] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(10.0)
GlobalTracer.startCompetition_Warn: AUTO_MODE.runContinuous takes too long (0.055s)
GlobalTracer.printPidInfo_Info: [1.359] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.105/ 0.000/ 0.000/ 0.000, Output= 0.105(-0.700/0.700), Volt=9.9(10.0)
GlobalTracer.printPidInfo_Info: [1.359] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.659/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=9.9(10.0)
GlobalTracer.printPidInfo_Info: [1.359] gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(10.0)
GlobalTracer.printPidInfo_Info: [1.420] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.105/ 0.000/ 0.000/ 0.000, Output= 0.105(-0.700/0.700), Volt=10.1(10.0)
GlobalTracer.printPidInfo_Info: [1.420] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.659/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(10.0)
GlobalTracer.printPidInfo_Info: [1.420] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(10.0)
GlobalTracer.printPidInfo_Info: [1.484] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.105/ 0.000/ 0.000/ 0.000, Output= 0.105(-0.700/0.700), Volt=10.0(10.0)
GlobalTracer.printPidInfo_Info: [1.484] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.659/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(10.0)
GlobalTracer.printPidInfo_Info: [1.484] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(10.0)
GlobalTracer.printPidInfo_Info: [1.528] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.105/ 0.000/ 0.000/ 0.000, Output= 0.105(-0.700/0.700), Volt=10.0(10.0)
GlobalTracer.printPidInfo_Info: [1.528] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.659/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=9.9(10.0)
GlobalTracer.printPidInfo_Info: [1.528] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=9.9(10.0)
GlobalTracer.printPidInfo_Info: [1.561] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.105/ 0.000/ 0.000/ 0.000, Output= 0.105(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [1.561] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.659/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [1.561] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.startCompetition_Warn: AUTO_MODE.runContinuous takes too long (0.049s)
GlobalTracer.printPidInfo_Info: [1.638] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.105/ 0.000/ 0.000/ 0.000, Output= 0.105(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [1.638] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.659/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [1.638] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.0(9.9)
GlobalTracer.printPidInfo_Info: [1.705] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.106/ 0.000/ 0.000/ 0.000, Output= 0.106(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [1.705] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.659/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [1.705] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.startCompetition_Warn: AUTO_MODE.runContinuous takes too long (0.047s)
GlobalTracer.printPidInfo_Info: [1.781] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.106/ 0.000/ 0.000/ 0.000, Output= 0.106(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [1.781] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.659/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [1.781] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [1.844] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.107/ 0.000/ 0.001/ 0.000, Output= 0.108(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [1.844] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.659/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [1.844] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [1.909] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.107/ 0.000/ 0.000/ 0.000, Output= 0.107(-0.700/0.700), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [1.909] encoderYPidCtrl: Target=-235.0, Input=  -2.1, Error=-232.9, PIDTerms=-4.658/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(9.9)
GlobalTracer.printPidInfo_Info: [1.909] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.700/0.700), Volt=10.1(9.9)
